"","p.CH4.ugL","p.CO2.ugL","p.N2O.ugL","p.O2.mgL","p.watertemp","p.slope","p.depth","p.GPP","p.ER","p.NO3.mgl","p.DOC.mgl","p.discharge","lowCI.CH4.ugL","lowCI.CO2.ugL","lowCI.N2O.ugL","lowCI.O2.mgL","lowCI.watertemp","lowCI.slope","lowCI.depth","lowCI.GPP","lowCI.ER","lowCI.NO3.mgl","lowCI.DOC.mgl","lowCI.discharge","uppCI.CH4.ugL","uppCI.CO2.ugL","uppCI.N2O.ugL","uppCI.O2.mgL","uppCI.watertemp","uppCI.slope","uppCI.depth","uppCI.GPP","uppCI.ER","uppCI.NO3.mgl","uppCI.DOC.mgl","uppCI.discharge"
"CH4.ugL",0,1.30257263717267e-16,0.604870950154592,3.40043999833596e-13,0.413984378981622,1.71146079580464e-05,0.471086164707792,0.907727311951003,0.00118498025465141,0.0424833720830483,0.369514208704917,0.00469294453166967,1,0.697133749917904,-0.29562966787742,-0.834767025675122,-0.140070875185305,-0.694951453775367,-0.346179775531128,-0.248089029651391,0.179366537723051,-0.458241537750731,-0.340003331510115,-0.570556421654664,1,0.872680251354117,0.175936106541664,-0.615327878499297,0.328826495811576,-0.317537646165,0.165918001374844,0.277589146369962,0.616767811961243,-0.00887569271312495,0.131347666992651,-0.119214826456557
"CO2.ugL",1.30257263717267e-16,0,0.673843635047474,4.25860494672625e-13,0.0409325400076741,0.0800380135607455,0.0514199090212382,3.35557329500508e-05,7.14200893758507e-06,0.238281390070303,0.486198621197476,0.668182456941334,0.697133749917904,1,-0.284780680893212,-0.833387539600719,-0.456782973354769,-0.462369841522513,-0.00132457324713355,-0.691868825258964,0.348629641189734,-0.370560294584124,-0.155730925290073,-0.203833960684906,0.872680251354117,1,0.187391869638286,-0.612503274026368,-0.0107282700397013,0.0282341275539926,0.483267285394164,-0.303243932543624,0.717428777395539,0.0968304582683103,0.317800609590808,0.311163842198054
"N2O.ugL",0.604870950154592,0.673843635047474,0,0.00915161860674197,0.357285993614934,0.18504263100644,0.760922745669725,0.135110668264517,0.000181518151663783,0.00616734670546756,0.979868247067739,0.302593756295401,-0.29562966787742,-0.284780680893212,1,0.0815297817150939,-0.340146067201763,-0.415841694637305,-0.295999075607003,-0.0641407621729623,-0.659646604201875,0.0982004745385585,-0.241363547073541,-0.382406923603002,0.175936106541664,0.187391869638286,1,0.513828884153083,0.127553487447814,0.0856985266363793,0.219788851816545,0.441598317305269,-0.248435052889357,0.526091316315098,0.235482262533848,0.125029488066747
"O2.mgL",3.40043999833596e-13,4.25860494672625e-13,0.00915161860674197,0,0.0116829392971224,0.0279951471473739,0.533836441128846,0.923786479292382,3.16511136326769e-05,0.0151252792991093,0.451494158463818,0.489046925146451,-0.834767025675122,-0.833387539600719,0.0815297817150939,1,-0.505884280218443,0.0327872732913057,-0.178779419650023,-0.250684221167436,-0.692897100397843,0.0597226354874638,-0.150036912834098,-0.16969475718347,-0.615327878499297,-0.612503274026368,0.513828884153083,1,-0.0708567462184681,0.508987288492341,0.334459848927942,0.275033123716376,-0.305036380326987,0.500358898378695,0.326417097888152,0.342754715761866
"watertemp",0.413984378981622,0.0409325400076741,0.357285993614934,0.0116829392971224,0,0.410351135520102,0.123059965655083,1.98822025533339e-06,0.0613389364697149,0.00325927451719804,0.0230824192804498,0.329848366167657,-0.140070875185305,-0.456782973354769,-0.340146067201763,-0.505884280218443,1,-0.358270715025829,-0.439818524997584,0.383191596872049,-0.482632497502025,-0.544573173667568,-0.48206987469196,-0.37588768546902,0.328826495811576,-0.0107282700397013,0.127553487447814,-0.0708567462184681,1,0.152464313061809,0.0564969698115037,0.736249138386391,0.0120324143852012,-0.123788516365735,-0.0394495977273551,0.132516979384509
"slope",1.71146079580464e-05,0.0800380135607455,0.18504263100644,0.0279951471473739,0.410351135520102,0,0.681999582417278,0.0363664737879802,0.677974736238556,0.70153460943514,0.147248044013347,0.511339497034489,-0.694951453775367,-0.462369841522513,-0.415841694637305,0.0327872732913057,-0.358270715025829,1,-0.206267125379738,-0.50595989805528,-0.314926128932882,-0.305646150557956,-0.0690201186374245,-0.174272496584901,-0.317537646165,0.0282341275539926,0.0856985266363793,0.508987288492341,0.152464313061809,1,0.308867998423106,-0.0188387984068601,0.209299813222892,0.209670971822756,0.42962193548645,0.338584916215938
"depth",0.471086164707792,0.0514199090212382,0.760922745669725,0.533836441128846,0.123059965655083,0.681999582417278,0,0.0252234390044999,0.518332610084729,0.0335646767465603,3.29246415823214e-06,2.19087964013956e-05,-0.346179775531128,-0.00132457324713355,-0.295999075607003,-0.178779419650023,-0.439818524997584,-0.206267125379738,1,-0.520892668694642,-0.343085080211959,0.0229149212046988,0.363119937427835,0.310324249348167,0.165918001374844,0.483267285394164,0.219788851816545,0.334459848927942,0.0564969698115037,0.308867998423106,1,-0.0391005775953937,0.178912015226305,0.501630050485266,0.720670211178648,0.690790994918628
"GPP",0.907727311951003,3.35557329500508e-05,0.135110668264517,0.923786479292382,1.98822025533339e-06,0.0363664737879802,0.0252234390044999,0,0.0896848330605161,0.369992946068867,0.00709077290222815,0.00140080154392388,-0.248089029651391,-0.691868825258964,-0.0641407621729623,-0.250684221167436,0.383191596872049,-0.50595989805528,-0.520892668694642,1,-0.463901725434779,-0.373028866998498,-0.56590784201492,-0.612487745848601,0.277589146369962,-0.303243932543624,0.441598317305269,0.275033123716376,0.736249138386391,-0.0188387984068601,-0.0391005775953937,1,0.0361562125210451,0.145467259452874,-0.102675458038398,-0.172701100684516
"ER",0.00118498025465141,7.14200893758507e-06,0.000181518151663783,3.16511136326769e-05,0.0613389364697149,0.677974736238556,0.518332610084729,0.0896848330605161,0,0.795098489265259,0.941251740785539,0.941352938496629,0.179366537723051,0.348629641189734,-0.659646604201875,-0.692897100397843,-0.482632497502025,-0.314926128932882,-0.343085080211959,-0.463901725434779,1,-0.295634824125434,-0.253496856314722,-0.253513126238531,0.616767811961243,0.717428777395539,-0.248435052889357,-0.305036380326987,0.0120324143852012,0.209299813222892,0.178912015226305,0.0361562125210451,1,0.22954959105061,0.272254522284619,0.272238423684318
"NO3.mgl",0.0424833720830483,0.238281390070303,0.00616734670546756,0.0151252792991093,0.00325927451719804,0.70153460943514,0.0335646767465603,0.369992946068867,0.795098489265259,0,3.1656463785215e-05,0.0802580806013778,-0.458241537750731,-0.370560294584124,0.0982004745385585,0.0597226354874638,-0.544573173667568,-0.305646150557956,0.0229149212046988,-0.373028866998498,-0.295634824125434,1,0.275126354366777,-0.0284074795346382,-0.00887569271312495,0.0968304582683103,0.526091316315098,0.500358898378695,-0.123788516365735,0.209670971822756,0.501630050485266,0.145467259452874,0.22954959105061,1,0.646119777735728,0.462233429401363
"DOC.mgl",0.369514208704917,0.486198621197476,0.979868247067739,0.451494158463818,0.0230824192804498,0.147248044013347,3.29246415823214e-06,0.00709077290222815,0.941251740785539,3.1656463785215e-05,0,4.02557210500679e-14,-0.340003331510115,-0.155730925290073,-0.241363547073541,-0.150036912834098,-0.48206987469196,-0.0690201186374245,0.363119937427835,-0.56590784201492,-0.253496856314722,0.275126354366777,1,0.685239665259425,0.131347666992651,0.317800609590808,0.235482262533848,0.326417097888152,-0.0394495977273551,0.42962193548645,0.720670211178648,-0.102675458038398,0.272254522284619,0.646119777735728,1,0.878118617150475
"discharge",0.00469294453166967,0.668182456941334,0.302593756295401,0.489046925146451,0.329848366167657,0.511339497034489,2.19087964013956e-05,0.00140080154392388,0.941352938496629,0.0802580806013778,4.02557210500679e-14,0,-0.570556421654664,-0.203833960684906,-0.382406923603002,-0.16969475718347,-0.37588768546902,-0.174272496584901,0.310324249348167,-0.612487745848601,-0.253513126238531,-0.0284074795346382,0.685239665259425,1,-0.119214826456557,0.311163842198054,0.125029488066747,0.342754715761866,0.132516979384509,0.338584916215938,0.690790994918628,-0.172701100684516,0.272238423684318,0.462233429401363,0.878118617150475,1
