site,sample,date,datetime,group,latitude,longitude,CRS,habitat,K_CH4,K_CO2,K_N2O,K_O2,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,slope_mm,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld,del_CO2,del_O2,del_CH4,del_N2O,wrt_days,CH4_rtd,CO2_rtd,N2O_rtd,velocity,CH4_turnover_m,CO2_turnover_m,N2O_turnover_m,O2_turnover_m,NEP,delll,CO2_flux,NEP_CO2,NEP_CO2_high,NEP_CO2_low,instr,instr_high,instr_low,CO2.umol,CH4CO2,CO2.umol_NEP,CO2.umol_extra,CH4CO2_extra
CBP,CBP_2019-11-11,2019-11-11,2019-11-11T18:30:00Z,2019-11-11,35.98549,-79.022675,WGS84,pool,3.6869954331491694,3.682512463779485,3.563846660337506,4.016622082882206,7.6492217805,4300.8550534999995,0.607127609,0.065238978,1018.131041,0.590640362,NA,0.4870918762986447,0.34598506607565926,0.29564294575511013,8.05033,10.57,11.798098168238496,99,20,100.78797774802445,3450,18.3,66.04436851,0.037,12.5150844,13.00590552,NA,0.044629105,NA,NA,NA,NA,3.876,0.1392,0.005,0.00721,0.15347299264169714,0,0.5412078199738857,1.73133000912483,2.775332945972495,0.6946172637662019,5.366803354056029,2.847861184104825,8.038692251980569,0.2981609675738044,99.18645833333332,10.370416666666667,11.775616673384992,8.168920208333333,0.35928347825728396,101.13628345926487,12.890104166666667,0.00387463147802864,27.96210995789934,12088.672091179453,0.05875802015910951,-5644.157377851053,74.60736392045453,-43.91250020994764,0.47399892515625,0.0010304529374999954,0.17577248385668373,0.10701227636911465,0.11764798923877168,0.17283237667407003,0.06584690515900661,4629.112817380588,4634.748146839278,4789.0718776318445,4249.221725377604,-1.577857016483133,0.006353245849318867,3.6043701673885113,1.7356427181314462,2.1695533976643078,1.3017320385985847,0.48153842073023767,0.6019230259127971,0.3611538155476783,97.74670576136363,0.00489097159395237,35.13000016795811,62.61670559340552,0.007634965090395918
CBP,CBP_2019-11-20,2019-11-20,2019-11-20T18:30:00Z,2019-11-20,35.98549,-79.022675,WGS84,pool,7.417787228962228,7.417612231483351,7.197032902546504,8.075036846708837,3.558607241,2711.0953285,0.0558141485,0.062852711,967.7348709,0.559712967,7.18,0.5426452201919565,0.8412349765529235,0.3620901618490297,9.34633,10.37,11.450784484136577,85.7,15.3,100.94463286067608,3450,18.3,66.04436851,0.037,10.41619253,11.7564827,NA,0.026882222,NA,NA,NA,NA,3.609,0.1187,0.005,0.00487,0.2356143402548937,0,0.635916297436407,4.032151282233414,5.36476777304547,2.800609828186633,10.405006183049183,7.765683757906944,13.244023023269342,0.3628270973336531,85.73541666666667,10.318958333333333,11.548849496730428,8.968711302083333,0.849568833348289,101.14873137593156,9.4515625,0.00387463147802864,25.930763308220858,12931.571854178172,-3.626576376298809,-9931.416461873145,39.621828581818185,-38.434098856159224,0.21848465812499998,-0.03149367615625,0.09045623133147485,0.05452014714383992,0.06319139209094254,-0.01854569733659314,0.12795220300148408,4471.038329125085,4471.143810567244,4608.178323910389,4107.128134220453,-3.7965369419785207,0.005514249744275029,4.691924679813033,4.176190636176373,5.220238295220466,3.1321429771322795,0.8900804938630833,1.112600617328854,0.6675603703973124,61.61580292045455,0.0036096738502236696,30.747279084927378,30.86852383552717,0.007205169698024909
CBP,CBP_2019-11-26,2019-11-26,2019-11-26T18:30:00Z,2019-11-26,35.98549,-79.022675,WGS84,pool,7.367409553865086,7.35528452116895,7.11122764890624,8.030254982244424,2.116654957,2670.7706129999997,0.3598372775,0.065593615,1022.745731,0.593196539,7.19,0.6592434923978459,1.089999508298409,0.38414049906057246,7.582,11.28,11.924255684347004,96.9,17.8,101.15209019969754,3450,18.3,66.04436851,0.037,14.15083184,13.86311605,NA,0.023382837,NA,NA,NA,NA,4.651,0.1559,0.005,1.14,0.34949208411020716,0,0.7272826620743442,3.234787036532979,4.182129912634514,2.284259529939205,10.86970033209548,8.156339955117527,13.42967829833763,0.38693919238028746,96.73958333333331,10.9840625,11.904696201179036,7.659645833333333,1.126342443875604,100.99503345926487,10.108333333333333,0.00387463147802864,15.111008926614144,12121.691905075884,-1.6594708325071417,-7392.923365715073,37.45511095454545,-28.769803161844855,0.128191333875,-0.014584953843750002,0.07276283607525687,0.04788726551447772,0.054698822590564286,0.10951038734766687,0.15906573600434273,5596.24634288122,5605.471637931026,5797.85106143622,5134.312529737637,-2.885294952422772,0.003422532482431295,4.690357676032731,3.173824447665049,3.967280559581311,2.380368335748787,0.6766700253763123,0.8458375317203903,0.5075025190322342,60.69933211363636,0.0021794463004112742,23.015842529475883,37.683489584160476,0.0035105807947283614
CBP,CBP_2019-12-03,2019-12-03,2019-12-03T16:15:00Z,2019-12-03,35.98549,-79.022675,WGS84,pool,7.265744798528434,7.250571582863031,7.002620977376578,7.924777885654036,2.3504515615,2444.7303155,0.1804256435,0.065548052,1029.406894,0.598040661,7.02,0.6403975929774484,0.982811602609423,0.3751730220997813,7.0985,11.215,11.988124363281036,78.05000000000001,8.575000000000001,99.72098684681126,3450,18.3,66.04436851,0.037,11.92233326,10.6992148,NA,0.280212717,NA,NA,NA,NA,5.821,0.4894,0.005,0.00834,0.4126216420918899,0.04451117141012382,0.7739837707070054,2.6900301588777036,3.5862832368245,1.776494370904265,10.870691052373854,8.076407883544574,13.810988434583376,0.3783339000430022,79.72552083333333,11.06828125,11.858904674422124,7.477005208333333,1.0245101077159098,100.17138762593156,5.743229166666667,0.00387463147802864,16.60152578928899,10261.903780488376,-2.9243996820129867,-6265.515029740514,32.166441397727276,-24.706982013191382,0.14280646934375,-0.026100938593749998,0.07821613596644822,0.05038238330832824,0.058883638055327106,-0.29211992578060797,0.14797552872004463,5278.916079188997,5289.963226470242,5477.27160561027,4839.915717217618,-2.2774085167858136,0.0044396104492255084,3.8824260791381957,2.5051493684643953,3.131436710580494,1.8788620263482962,0.645253590770356,0.806566988462945,0.483940193077767,55.562052625,0.002643948804145714,19.765585610553106,35.79646701444689,0.004103846967201042
CBP,CBP_2019-12-12,2019-12-12,2019-12-12T18:30:00Z,2019-12-12,35.98549,-79.022675,WGS84,pool,6.821149090477397,6.7976344535442745,6.5427245941035785,7.461557146340788,1.7921902735000002,2554.0784169999997,0.556585157,0.070538037,1122.766122,0.654331822,7.29,0.5482212448820578,1.0346110277362954,0.3795961388500664,5.6,12.34,12.785685018700171,88,6.4,102.70451820929628,3450,18.3,66.04436851,0.037,14.41,11.29,0.1,0.0888,7.9,NA,4.17,13.55,4.317,0.2295,0.005,0.005,0.5309440295824857,0.14356574197633412,0.9141403364391676,2.6431851909404536,3.5725049093574226,1.7400740621116564,10.66094919367388,7.968671933918545,13.441714595699706,0.38299217257986345,87.52604166666667,11.910104166666668,12.768791476030556,5.614895833333334,1.0763628078723158,102.89722095926489,2.277604166666667,0.00387463147802864,11.743646587120352,9729.537770273528,-0.6395295090871032,-6407.144429656269,32.52982488636363,-26.833978417621474,0.10760326478125001,-0.006109166562499997,0.07536480199186713,0.050450339860610906,0.05855416001564039,0.08250981716231272,0.1535739996414118,5835.729461275852,5855.916639692057,6084.067903901712,5334.862405573793,-2.112241161357968,0.0033078341232127837,3.726336808834899,2.3234652774937645,2.904331596867206,1.7425989581203234,0.6235253002318474,0.7794066252898093,0.46764397517388556,58.047236749999996,0.0019296679457140571,21.46718273409718,36.58005401590282,0.003062102971336618
CBP,CBP_2020-01-05,2020-01-05,2020-01-05T18:15:00Z,2020-01-05,35.98549,-79.022675,WGS84,pool,8.230907356048105,8.228847663900133,7.980418472492267,8.960711311800445,1.616680632,1719.0229775,0.335839624,0.063489441,980.1850062,0.567252206,7.1,1.1916774377677406,1.28732437863139,0.399006028702414,9.1,11.2,11.544316503979314,60.1,9.4,101.17711686280911,3450,18.3,66.04436851,0.037,6.91,6.7,0.015,0.2737,5.04,NA,2.53,7.26,8.738,0.539,0.005,0.005,0.6420270540620054,0.24648478223249623,1.0286160099720356,2.795871999883562,3.7375084669192455,1.871780590413159,11.626631685047922,8.696424538729149,14.638226309006514,0.4166720897409332,60.45520833333333,10.895625,11.475442881442016,9.265208333333334,1.6971456651959609,101.20883554259822,6.059375,0.00387463147802864,12.784172799351015,6079.785114132719,-1.846769244159932,-5195.580649021646,16.791772075,-18.11930879506296,0.0970744494375,-0.014463286375000002,0.052001112963914305,0.03684866518194382,0.04392298020307089,0.07282580791238538,0.22257358380205813,7009.078152131287,7010.83253425429,7229.078665529763,6438.2247027107715,-2.1538449458215565,0.005781072361149233,2.5332767686814983,2.369229440403712,2.96153680050464,1.776922080302784,0.9352430297763443,1.1690537872204305,0.7014322723322584,39.068704034090906,0.002586278250024148,14.495447036050368,24.573256998040538,0.00411189039808834
CBP,CBP_2020-01-29,2020-01-29,2020-01-29T17:30:00Z,2020-01-29,35.98549,-79.022675,WGS84,pool,4.6900976653553,4.677234066208559,4.5100012702673515,5.1218842423103395,1.480184643,1832.4860835,0.7423650385,0.067822266,1071.831479,0.623594814,6.93,1.1346830860745367,0.5228679279553178,0.3248551903972952,6.38,12.16,12.313026256777643,65.6,9.15,100.91963552698724,3450,18.3,66.04436851,0.037,8.83,8.36,0.08,0.2955,5.68,NA,2.99,9.22,3.801,0.4099,0.005,0.005,0.594504206122112,0.20764507784874417,0.9769112218379148,1.4849039501801626,2.263281920563154,0.6994212123294732,7.165180549220873,4.790566196267668,9.461915090680405,0.32850698697169356,65.22083333333333,11.462708333333332,12.25411803630739,6.565625,0.5499084518620414,101.17732512593156,4.413020833333333,0.00387463147802864,6.624117487003362,3557.759628785798,0.5356538633649384,-4053.5088868743223,17.287604647727274,-24.731553217939293,0.0882726485625,0.007423139031249998,0.12652943347900578,0.08078525743749804,0.10157654074595189,0.11594404631521446,0.0914733730787982,5055.310143574236,5069.213549375371,5257.182178269981,4629.135915678097,-0.8903997440580507,0.005106123743644543,1.1687488960219534,0.9794397184638557,1.2242996480798196,0.7345797888478918,0.8380240801061327,1.047530100132666,0.6285180600795995,41.64741098863636,0.002221303509424442,19.785242574351436,21.862168414284923,0.004231581169553711
CBP,CBP_2020-02-12,2020-02-12,2020-02-12T17:00:00Z,2020-02-12,35.98549,-79.022675,WGS84,pool,6.840867232032169,6.860272660589534,6.688983633701994,7.46887175794494,1.0109187225,1748.587455,0.494403073,0.058333469,873.3319036,0.502104946,6.89,1.2308620564874682,2.4090873439783707,0.4603461956933138,12.492,10.272,10.66763663020041,56.22,12.2,101.16378530701655,3450,18.3,66.04436851,0.037,5.19,5.66,0.015,0.1737,4.14,NA,2.3,7.11,6.638,0.4062,0.005,0.0140384,0.28198079546158744,0,0.6928281070107563,1.4154025798872665,2.1888110450744653,0.6334179786545533,8.792985852629782,6.192102419058511,11.7430212478922,0.4575553858014925,56.81041666666667,10.1578125,10.62946373533762,12.533541666666666,2.4141473931316746,101.15477304259822,12.500520833333333,0.00387463147802864,6.516509246385207,6004.491730298639,-0.05151770244585108,-3522.702591212986,19.892171622727275,-14.7391011043006,0.05953657834375,-4.8136706249999814e-4,0.040143685080224006,0.031891167902055845,0.03528030254835567,0.04031231331068568,0.28831618350293936,10924.280830072752,10893.379674728534,11172.333325414638,10005.735429111755,-1.133421784425679,0.002992965246475556,2.7473875301986648,1.246763962868247,1.5584549535853087,0.9350729721511852,0.45379981861462876,0.567249773268286,0.34034986396097155,39.740623977272726,0.0015898698569097307,11.79128088344048,27.949343093832248,0.002260604835832183
CBP,CBP_2020-02-27,2020-02-27,2020-02-27T17:15:00Z,2020-02-27,35.98549,-79.022675,WGS84,pool,5.1550231574267125,5.159950577372423,5.016000716410602,5.6130214760527695,0.9513622875,1088.4086765,0.567793767,0.061038314,931.3571389,0.537615565,7.2,1.1426209766342237,0.4029130879089989,0.3060998916248997,10.4133,11.65,11.1232997980774,68.5,7.1000000000000005,100.82935637593155,3450,18.3,66.04436851,0.037,8.02,7.4,0.07,0.097,5.63,NA,2.88,9.08,3.97,0.211,0.005,0.005,0.9928743926197312,0.5119784707637902,1.4594367758785762,1.2594343556547156,2.0465598198044037,0.4588418919818686,7.016851081804765,4.640102176716041,9.67618982639317,0.30846923204259297,68.74270833333334,10.83375,11.113648530871576,10.383333333333333,0.4176169401959473,100.6465959592649,6.251041666666667,0.00387463147802864,4.589640701004667,810.3781721163468,0.1513738828519838,-1571.0764648977815,3.5693531272727266,-8.74682908973673,0.055645248343749995,0.0018861376249999992,0.15644838792679563,0.08915701681090167,0.1401259373383474,0.1501843261369242,0.07398014276433287,3719.7995855535964,3716.2474169044863,3822.896783443241,3416.279999341802,-0.2665599630349844,0.015589729107656953,0.24997673241680973,0.2932159593384829,0.3665199491731036,0.21991196950386216,1.1729730063419515,1.4662162579274394,0.8797297547564636,24.736560829545454,0.0024037352394489114,6.997463271789384,17.739097557756068,0.0033519260365503897
CBP,CBP_2020-03-11,2020-03-11,2020-03-11T19:45:00Z,2020-03-11,35.98549,-79.022675,WGS84,pool,2.0726165762105087,2.081772836266655,2.0333837928200573,2.274027576348397,2.4450671785,366.56289335,0.51725893,0.055460255,816.115197,0.46757478,7.66,NA,0.22775354803416345,0.2687386195071499,14.3,10.951000000000006,9.823262389090385,94.06666666666668,23.175,100.55632530168396,3450,18.3,66.04436851,0.037,10.73,8.15,0.09,0.0193,6.85,NA,3.9,12.94,2.471,0.1166,0.005,0.005,NA,NA,NA,NA,NA,NA,2.5385120973945043,0.93829937834699,4.1519940030495,0.26932689788241093,94.06666666666668,10.951000000000006,9.823262389090385,14.3,0.229969826157436,101.0415959592649,17.6046875,0.00387463147802864,4.9527389202734975,-935.865774219669,0.10102694537004062,2564.5064260937374,-10.217097810227271,35.241800340925664,0.14935043271875,0.003105259374999999,0.24805399119180885,0.1650986466186964,0.6764542216036201,0.23659161159844105,0.04665949545284427,5835.204330696657,5809.5393554400725,5947.7907043825335,5318.379313938596,NA,-0.014617696286439665,-0.25205382580490426,NA,NA,NA,NA,NA,NA,8.330974848863637,0.018343195295697542,-28.19344027274053,36.524415121604164,0.004183960185192919
CBP,CBP_2020-03-20,2020-03-20,2020-03-20T18:30:00Z,2020-03-20,35.98549,-79.022675,WGS84,pool,1.5272731458338396,1.5392754935392774,1.5045132073149603,1.7108836674481611,4.9035311870000005,985.16758775,0.376934099,0.050733882,717.8425464,0.408224472,7.21,NA,0.19422861559977972,0.25914947542817324,18.6,8.62,8.941908713692944,110.2,28.6,101.0246248617426,3450,18.3,66.04436851,0.037,11.15,7.53,0.09,0.0015,7.07,NA,4.04,13.3,3.201,0.1184,0.005,0.005,NA,NA,NA,NA,NA,NA,1.678521469077752,0.12814372568546778,3.4873153354192294,0.2605944237440782,110.2,8.62,8.941908713692944,18.6,0.1990686377071474,101.35430429259824,23.856770833333332,0.00387463147802864,7.411547006101328,411.4868849594292,-0.04707677944031141,-550.7483606665062,6.075569121590911,-10.05964730290454,0.3032998315625,-0.001955648312499999,0.27726791789771016,0.19538533805368052,0.24849029391225438,0.2872138696213311,0.04174328628364422,7084.430073451796,7029.1899339229585,7191.601743417274,6324.135305387979,NA,0.04992122145144483,0.10723118766424826,NA,NA,NA,NA,NA,NA,22.390172448863638,0.013687732860809397,8.047717842323632,14.342454606540006,0.021368078728152478
NHC,NHC_2019-11-11,2019-11-11,2019-11-11T19:45:00Z,2019-11-11,35.9795,-79.0018,WGS84,run,4.618901979596933,4.6140911818209425,4.467156400965259,5.030972372122161,9.598706763,4234.538944,0.4605107145,0.063485103,981.0013865,0.567838024,NA,0.9326049255780804,0.3253165794819162,0.35332287445556604,8.24,10.06,11.730161211873051,132,20.6,100.80380130488352,0,10,81.06622487,0.022,8.278295807,8.047310712,NA,0.048003512,NA,NA,NA,NA,3.275,0.1147,0.005,0.0117,0.28364420038969457,0,0.5746616824448596,4.069905520187036,6.54491814426201,1.4980180349490544,6.686762556171562,2.2284836047497003,11.102046722863165,0.3557769246648133,131.625,9.7091666666666665,11.745950732524443,8.262083333333333,0.3436207570951134,101.13628345926487,12.890104166666667,0.00230383472585434,44.04225420126956,15012.118953783998,-0.4794478776313047,-10247.004363309128,73.94403539772726,-63.64950205805553,0.59595135375,-0.006707956843750005,0.11983526591139622,0.07732073241604767,0.08410464913414607,0.13691752682452146,0.09658320516960099,5419.982257806041,5425.633303172135,5604.094536414971,4976.049345586169,-3.7862613197973416,0.008059491892003463,5.340965514079626,4.1648874517770755,5.206109314721345,3.123665588832807,0.779800476299234,0.9747505953740426,0.5848503572244256,96.23952145454545,0.006233605109631033,50.91960164644443,45.31991980810103,0.013237427939584817
NHC,NHC_2019-11-20,2019-11-20,2019-11-20T19:15:00Z,2019-11-20,35.9795,-79.0018,WGS84,run,3.4689678614260018,3.468610513059009,3.3649171048771467,3.7763921878291127,4.1374781034999994,2421.7953005,0.0981252465,0.062698239,963.617264,0.55711081,7.07,1.0616054202795333,0.7951779086781474,0.3960994519307542,9.26,10.41,11.473546614401524,129,15.6,101.0741984186017,0,10,81.06622487,0.022,10.58106995,10.42768998,0.005,5e-4,6.65099528,1.6433728,4.03089525,4.06502066,3.507,0.1062,0.005,0.005,0.28960677313220107,0,0.5964958160642119,1.7495171423293776,2.9507118875811487,0.5525418610555894,4.8778907461584735,1.1886184408694296,8.365675100259546,0.39784180859359,129.23958333333334,10.505208333333334,11.500753882740314,9.139895833333334,0.8247523504696368,101.14873137593156,9.4515625,0.00230383472585434,14.135280392336297,5057.851667315645,-1.5444483735128256,-3759.5704354085624,33.140409920454545,-31.110798418968134,0.25467374153124994,-0.028686597718749998,0.05583070554213995,0.04688740141840443,0.05000059312827639,0.4604626008883988,0.20730660595607525,15489.87318715778,15491.469007982148,15968.85468171928,14228.890854343179,-1.4599103691971766,0.007684688938444999,2.0122248549229607,1.6059014061168946,2.007376757646118,1.2044260545876708,0.7980725425332138,0.9975906781665173,0.5985544068999104,55.04080228409091,0.004698194262031932,24.888638735174506,30.152163548916402,0.008576246313112186
NHC,NHC_2019-12-03,2019-12-03,2019-12-04T17:00:00Z,2019-12-03,35.9795,-79.0018,WGS84,run,6.432014606966364,6.417281928733948,6.194783436177536,7.017903855876762,2.9882118039999996,1812.2207,0.224883978,0.064216075,1000.367049,0.580098798,7.1575,1.1353761960344677,1.2639946319299868,0.4202825549968818,6.877,11.63,12.003438237916928,119,11.1,99.67888129421829,0,10,81.06622487,0.022,11.63645185,9.45237852,0.06725069,0.20813434,6.83991728,7.9985053,3.08110875,6.06864214,5.116,0.4047,0.005,0.005,0.5173162471961722,0.17848983107695285,0.8471129027821156,2.5237563712391387,3.6976157420341735,1.4453504961074208,9.685332896953618,5.574137525798461,13.583884268232676,0.4198760961271872,116.85416666666669,11.359166666666669,11.905345564888387,7.20803125,1.2546985855461543,99.89925220926489,7.61875,0.00230383472585434,18.80718323963526,5209.893763338978,-2.200478883220785,-3833.0309958287457,18.451219340909095,-17.068090569428705,0.18274973306249997,-0.022200926249999996,0.03873182846056812,0.031140666151126834,0.03485118832262048,0.06236899683178382,0.2988259148637235,12042.211012516469,12069.857299842552,12503.371252711753,11036.867806021037,-2.0064401240429666,0.009904480006766634,2.1875098545881495,2.2070841364472633,2.758855170559079,1.6553131023354473,1.0089482028243475,1.2611852535304344,0.7567111521182606,41.186834090909095,0.004534537355742597,13.654472455542964,27.53236163536613,0.0067834078392351605
